Date,XOM,SP500
19910103,0.00580553154532071,-0.0140047942620969
19910104,0.0100792789947026,-0.00283088024052969
19910107,-0.0129778317487141,-0.0174726335606437
19910108,-0.00290697879130919,-0.00171336146239298
19910109,-0.0161412161793852,-0.010887893123507
19910110,0.00883658180049807,0.0097122261148872
19910111,-0.00883658180049807,0.00222307002123312
19910114,0.00147819686931094,-0.00873006245514674
19910115,-0.00147819686931094,0.00396027472982752
19910116,-0.00296296513065708,0.00774730021968217
19910117,0.0220111601013515,0.0366420971725212
19910118,0.0144094712201519,0.0129053593592321
19910121,-0.00717878172700592,-0.0035278723136889
19910122,-0.00723068949314598,-0.0083413438431954
19910123,0.0215370851443839,0.0057705317145853
19910124,0,0.013744783971064
19910125,0.0127030642562536,0.0038458719236889
19910128,-0.00280899061105511,-0.00011902990640511
19910129,-0.00989407364519845,-0.00056558561943465
19910130,-0.0042704691234523,0.0149836567568746
19910131,-0.0028571448007797,0.00881963546553965
19910201,-0.02169282461126,-0.00256193915783687
19910204,0.0145140428842541,0.0153028051667388
19910205,0.00143988505798776,0.00834767568995076
19910206,0.0436381692600039,0.0192018080197265
19910207,0.0163938097756764,-0.00433815875079979
19910208,-0.0122700925918142,0.00790650465193554
19910211,0.0257292459658189,0.0253609404894393
19910212,-0.0202572760878257,-0.00839150521405774
19910213,0.0242599498774834,0.0095845639239025
19910214,-0.0174618271636624,-0.0130927624460622
19910215,-0.00679812271382096,0.0132011517806578
19910219,0.0013633267278641,0.000893764024557875
19910220,0.00272109011436061,-0.0115721547875252
19910221,0.00406780221932568,-0.000465683261624328
19910222,-0.00135409634772943,0.00186143329321986
19910225,0.00135409634772943,0.00439345237407363
19910226,-0.00135409634772943,-0.0121907628341056
19910227,0.0359320092260633,0.0134968854687676
19910228,-0.0105125803890869,-0.0018236011640429
19910301,0.0105125803890869,0.00921990423618801
19910304,-0.0198026272961798,-0.00308191647020717
19910305,0.00399202126953746,0.0198116526076655
19910306,0,-0.00146103706474321
19910307,0.00661815784247821,-0.000691415834372933
19910308,0.00263504763800482,-0.00255706928878485
19910311,0.00262812240626964,-0.00532150845995094
19910312,0.0130379943381298,-0.00788709185498959
19910313,0.0179722424044306,0.0121946179460686
19910314,-0.00510205188389534,-0.00286069680565415
19910315,0.00255427980509637,0.00024093482829457
19910318,-0.0128371467606803,-0.0039694299135995
19910319,0,-0.0149454521408572
19910320,0.0128371467606803,0.00362146588495893
19910321,0.00254777207879897,-0.00364874468796739
19910322,0.0101266688179291,0.00245211685956459
19910325,0.021184592868277,0.00637454519170522
19910326,0.00737104074458994,0.0173432570044207
19910327,-0.0197781477916434,-0.00252777358038081
19910328,0.00249376687840241,-0.000346403403546525
19910401,-0.0175883931008873,-0.0105021594324306
19910402,0.0237957376752211,0.0218442356526509
19910403,-0.0174785972739597,-0.00147671563146901
19910404,-0.00631714040126141,0.00218792511263022
19910405,-0.00253807242847115,-0.0116802408517351
19910408,0.00506971935025069,0.00875313935909183
19910409,-0.0114432272223426,-0.0135600705826855
19910410,0.00255427980509637,-0.001098150664121
19910411,0.018951925415867,0.0119343966905747
19910412,0.0259433944920242,0.00730845040326411
19910415,-0.00366524539829616,0.00207460781613822
19910416,0.00974429147467815,0.0167275397852285
19910417,0,0.00727444183608217
19910418,-0.00364299127850076,-0.00510971570469732
19910419,0.00364299127850076,-0.0110269540695302
19910422,0,-0.00849511741543818
19910423,0.0132452267500209,0.00212400599053275
19910424,0,0.00261602200151145
19910425,-0.030360558969289,-0.00921254268242055
19910426,0.00737104074458994,-0.000606644089978126
